# rascl_task1_format=2
# poses_sha256=33ae0f2c13fe99f6de43f9b82851c33899ce7b868fd31bacb30c249ffe689d90
# urdf_sha256=9ee9403a898d597691f8a780caeea9454e8ac2044fc6fc26227bed67d79798b4
# gripper_mode=simulation
# target_z_correction_m=0.0
# cube1_start_z_correction_m=0.0
# cube2_3_start_z_correction_m=0.0
# cube3_buffer_z_correction_m=0.0
# goal_z_correction_m=0.0
time,shoulder_joint,upperarm_joint,lowerarm_joint,end_effector_joint,gripper,segment
0.7000000000000001,0.00419870133513414,0.002119319409714555,0.020057643583914375,0.0,0.0,pick_ready_to_above_cube3_start_open
0.75,0.005078809995057285,0.002563559477476697,0.024262016414184042,0.0,0.0,pick_ready_to_above_cube3_start_open
0.8,0.006061077416896087,0.003059364786421526,0.028954412533543587,0.0,0.0,pick_ready_to_above_cube3_start_open
0.8500000000000001,0.007147957517892998,0.003607973965836208,0.03414655456608671,0.0,0.0,pick_ready_to_above_cube3_start_open
0.9,0.008341437020593817,0.004210389825712917,0.03984793329706892,0.0,0.0,pick_ready_to_above_cube3_start_open
0.9500000000000001,0.009643049193868184,0.004867386292610456,0.04606587331522632,0.0,0.0,pick_ready_to_above_cube3_start_open
1.0,0.011053887593930077,0.0055795153455158765,0.052805598655094384,0.0,0.0,pick_ready_to_above_cube3_start_open
1.05,0.01257461980535828,0.006347113951706084,0.06007029843932668,0.0,0.0,pick_ready_to_above_cube3_start_open
1.1,0.014205501182116895,0.0071703110026094695,0.06786119252101368,0.0,0.0,pick_ready_to_above_cube3_start_open
1.1500000000000001,0.015946388588575826,0.00804903424966752,0.07617759712600156,0.0,0.0,pick_ready_to_above_cube3_start_open
1.2000000000000002,0.017796754140531255,0.008983017240196433,0.08501699049521087,0.0,0.0,pick_ready_to_above_cube3_start_open
1.25,0.01975569894622614,0.009971806253248738,0.09437507852695536,0.0,0.0,pick_ready_to_above_cube3_start_open
1.3,0.021821966847370738,0.011014767235474923,0.10424586041926089,0.0,0.0,pick_ready_to_above_cube3_start_open
1.35,0.023993958160163018,0.012111092736985025,0.11462169431218389,0.0,0.0,pick_ready_to_above_cube3_start_open
1.4000000000000001,0.026269743416309225,0.01325980884721028,0.12549336293013041,0.0,0.0,pick_ready_to_above_cube3_start_open
1.4500000000000002,0.02864707710404435,0.014459782130764721,0.13685013922417477,0.0,0.0,pick_ready_to_above_cube3_start_open
1.5,0.03112341140915257,0.015709726563306787,0.1486798520143783,0.0,0.0,pick_ready_to_above_cube3_start_open
1.55,0.03369590995598783,0.017008210467400975,0.16096895163210828,0.0,0.0,pick_ready_to_above_cube3_start_open
1.6,0.036361461548494234,0.018353663448379406,0.1737025755623564,0.0,0.0,pick_ready_to_above_cube3_start_open
1.6500000000000001,0.039116693911226616,0.019744383330203508,0.1868646140860579,0.0,0.0,pick_ready_to_above_cube3_start_open
1.7000000000000002,0.04195798743037099,0.021178543091325563,0.20043777592241008,0.0,0.0,pick_ready_to_above_cube3_start_open
1.75,0.04488148889476501,0.02265419780055037,0.214403653871191,0.0,0.0,pick_ready_to_above_cube3_start_open
1.8,0.04788312523691856,0.024169291552896863,0.2287427904550788,0.0,0.0,pick_ready_to_above_cube3_start_open
1.85,0.05095861727403411,0.025721664405459692,0.24343474356196956,0.0,0.0,pick_ready_to_above_cube3_start_open
1.9000000000000001,0.05410349344902733,0.027309059313270885,0.258458152087297,0.0,0.0,pick_ready_to_above_cube3_start_open
1.9500000000000002,0.05731310357154747,0.02892912906516143,0.27379080157635055,0.0,0.0,pick_ready_to_above_cube3_start_open
2.0,0.060582632558998,0.03057944321962293,0.28940968986659465,0.0,0.0,pick_ready_to_above_cube3_start_open
2.0500000000000003,0.06390711417755685,0.032257495040669146,0.30529109272998695,0.0,0.0,pick_ready_to_above_cube3_start_open
2.1,0.0672814447831972,0.03396070843369773,0.32141062951529764,0.0,0.0,pick_ready_to_above_cube3_start_open
2.15,0.07070039706270771,0.03568644488135172,0.33774332879042784,0.0,0.0,pick_ready_to_above_cube3_start_open
2.2,0.07415863377471323,0.037432010379381264,0.35426369398472873,0.0,0.0,pick_ready_to_above_cube3_start_open
2.25,0.07765072149069514,0.03919466237250518,0.37094576903132004,0.0,0.0,pick_ready_to_above_cube3_start_open
2.3000000000000003,0.08117114433601179,0.040971616690272515,0.38776320400940834,0.0,0.0,pick_ready_to_above_cube3_start_open
2.35,0.08471431773091923,0.04276005448292434,0.40468932078660724,0.0,0.0,pick_ready_to_above_cube3_start_open
2.4000000000000004,0.08827460213159147,0.04455712915725518,0.4216971786612547,0.0,0.0,pick_ready_to_above_cube3_start_open
